index,type,name,resident,streamed,parentStack
1,string,,8944,0,||assetlist
2,techset,ei/effect_lit_blend#2843f95a,637535,0,|ei/gfx_water_splash_low_anim_lit|material|player/fx_plyr_water_splash_md|fx|pbt_zm_dempsey|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
3,material,ei/gfx_fog_slow_md_anim_lit|dup,1881,0,|core_mod|texturecombo
4,image,fxt_fog_slow_md_anim,5592485,0,|core_mod|texturecombo
5,material,ei/gfx_fog_slow_lg_anim_lit|dup,1128,0,|core_mod|texturecombo
6,image,fxt_fog_slow_lg_anim,5592597,0,|core_mod|texturecombo
7,material,ei/gfx_fog_slow_sm_anim_lit|dup,1128,0,|core_mod|texturecombo
8,image,fxt_fog_slow_sm_anim,5592597,0,|core_mod|texturecombo
9,material,ei/gfx_smk_billow_sm_anim_lit|dup,1768,0,|core_mod|texturecombo
10,image,fxt_smk_billow_sm_anim,5592487,0,|core_mod|texturecombo
11,material,ei/gfx_water_splash_low_anim_lit|dup,1768,0,|core_mod|texturecombo
12,image,fxt_water_splash_low_anim,1398186,0,|core_mod|texturecombo
13,texturecombo,core_mod,346,0,||assetlist
14,rawfile,mod.cfg,49,0,|zone_source/core_mod.zone|csv
15,rawfile,cp_mod.cfg,14,0,|zone_source/core_mod.zone|csv
16,rawfile,mp_mod.cfg,16,0,|zone_source/core_mod.zone|csv
17,rawfile,zm_mod.cfg,16,0,|zone_source/core_mod.zone|csv
18,techset,mc/lit_emissive_transparent_plus#e6142445,1431123,0,|mc/mtl_t7_ba_aru_extras|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
19,image,$white_ao,130,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
20,image,$white_reveal,270,0,|mc/mtl_t7_ba_aru_extras|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
21,image,$camo_base_gloss,273,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
22,image,i_t7_ba_hare_extras_c,238,5592432,|mc/mtl_t7_ba_hare_extras|material|c_zom_dlc3_dempsey_cin_fb|xmodel|zone_source/core_mod.zone|csv
23,image,$gray_32_one_channel,346,0,|mc/mtl_t7_ba_aru_shirt|material|t7_ba_aru_fb|xmodel|zone_source/core_mod.zone|csv
