index,type,name,resident,streamed,parentStack
1,string,,4273,0,||assetlist
2,xmodelmesh,p7_fxp_debris_wood_splinter_small_lod0fed783a2,1080,0,|p7_fxp_debris_wood_splinter_01|xmodel|impacts/fx_bul_impact_wood_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
3,xmodelmesh,p7_fxp_debris_wood_splinter_med_lod085e6d53b,1520,0,|p7_fxp_debris_wood_splinter_02|xmodel|impacts/fx_bul_impact_wood_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
4,xmodelmesh,p7_fxp_debris_wood_splinter_large_lod0147a6d2a,1520,0,|p7_fxp_debris_wood_splinter_03|xmodel|impacts/fx_bul_impact_wood_uw_lg|fx|impacts/fx_bul_impact_wood_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
5,xmodelmesh,p7_fxp_debris_rock_01_lod0f70fa7ef,1072,0,|p7_fxp_debris_rock_01|xmodel|impacts/fx_bul_impact_gravel_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
6,xmodelmesh,p7_fxp_debris_rock_02_lod01cba0634,1120,0,|p7_fxp_debris_rock_02|xmodel|impacts/fx_bul_impact_gravel_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
7,xmodelmesh,p7_fxp_debris_rock_03_lod0db8eabe4,944,0,|p7_fxp_debris_rock_03|xmodel|impacts/fx_bul_impact_gravel_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
8,xmodelmesh,p7_fxp_debris_car_glass_shatter_01_lod07241c8ff,1312,0,|p7_fxp_debris_car_glass_shatter_01|xmodel|impacts/fx_bul_impact_glass_uw_lg|fx|impacts/fx_bul_impact_glass_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
9,xmodelmesh,p7_fxp_debris_car_glass_shatter_02_lod0f958f713,1264,0,|p7_fxp_debris_car_glass_shatter_02|xmodel|impacts/fx_bul_impact_glass_uw_lg|fx|impacts/fx_bul_impact_glass_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
10,xmodelmesh,p7_fxp_debris_car_glass_shatter_03_lod020880f6e,1024,0,|p7_fxp_debris_car_glass_shatter_03|xmodel|impacts/fx_bul_impact_glass_uw_lg|fx|impacts/fx_bul_impact_glass_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t7_ba_pistol_mc96_zm|weapon|ba_weapons.zpkg|csv|zone_source/zm_mod.zone|csv
11,xmodelmesh,p7_zm_teddybear79c35e34,1344,0,|p7_zm_zod_magic_box_tentacle_teddy|xmodel|zone_source/zm_mod.zone|csv
12,xmodelmesh,p7_zm_teddybear_sittinga7d97d4d,2336,0,|p7_zm_teddybear_sitting|xmodel|zone_source/zm_mod.zone|csv
13,xmodelmesh,p7_zm_der_magic_box_fake71df8005,464,9296,|p7_zm_der_magic_box_fake|xmodel|zone_source/zm_mod.zone|csv
14,xmodelmesh,p7_zm_teddybear_sitting374ddad4,3872,0,|p7_zm_teddybear_sitting|xmodel|zone_source/zm_mod.zone|csv
